transform,input,local_output,remote_output,status
pl-ar,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,تسافي ريسومي أ أ أ سس أي أي د ته أ ن,‎تسافي ريسومي أ ö ü ß أ أ ذ þ أ ن‎,mismatch
Kannada-InterIndic,ಕನ್ನಡ ಬರಹ, , ,match
Telugu-Oriya,తెలుగు రాత,ତେଲୁଗୁ ରାତ,ତେଲୁଗୁ ରାତ,match
hy-ar,հայերեն լեdelays,هايرين ليديلاوس,‎هاياران لاديلاوس‎,mismatch
es-ar,español texto ñ,يسبانولتيستون,‎أسبانولتيستون‎,mismatch
Syriac-Latin,ܣܘܪܝܝܐ,swryyʾ,swryyʾ,match
si-ar,සිංහල,سينهل,‎سينْغهل‎,mismatch
Telugu-Kannada,తెలుగు రాత,ತೆಲುಗು ರಾತ,ತೆಲುಗು ರಾತ,match
Malayalam-InterIndic,മലയാളം എഴുത്ത്, , ,match
Devanagari-Oriya,हिन्दी नमस्ते,ହିନ୍ଦୀ ନମସ୍ତେ,ହିନ୍ଦୀ ନମସ୍ତେ,match
Devanagari-Malayalam,हिन्दी नमस्ते,ഹിന്ദീ നമസ്തേ,ഹിന്ദീ നമസ്തേ,match
Latin-Thai,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,จะเฟ๊เร๊ซุเม๊ A O U SS AE OE D TH L น,จะเฟ๊เร๊ซุเม๊ะ̈ โ̈ ุ̈ ß แ œ ð þ ฦน̃,mismatch
InterIndic-Tamil,हिन्दी,हिन्दी,हिन्दी,match
Georgian-Latin,საქართველო ქალაქი,sakartvelo kalaki,sakartvelo kalaki,match
Latin-Ethiopic,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,cኧፍé ርéሱምé Ä Ö Ü ß Æ œ Ð þ Ł ñ,mismatch
Kannada-ur,ಕನ್ನಡ ಬರಹ,کننڈ بره,‎کننڈ بره‎,match
vec-vec_FONIPA,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,kafˈe ɾˈesumˈe ä ö ü ß æ œ ð þ e̯ ɲ,kaˈfe ˈɾesuˈme ä ö ü ß æ œ ð þ e̯ ɲ,mismatch
zu-ar,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,تْشافي ريسومي أ أ أ سس أي أي د ته ل ن,‎تْشافي ريسومي أ ö ü ß أ أ ذ þ ł ن‎,mismatch
tr-Upper,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,CAFÉ RÉSUMÉ Ä Ö Ü SS Æ Œ Ð Þ Ł Ñ,CAFÉ RÉSUMÉ Ä Ö Ü SS Æ Œ Ð Þ Ł Ñ,match
si-chr,සිංහල,ᏏᏂᎲᎵ,ᏏᏂᎲᎸ,mismatch
ch-chr,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,ᎧᎡᏪ ᎴᏑᎺ Ꭰ Ꭳ Ꭴ ᏍᏍ ᎠᎡ ᎣᎡ Ꮧ ᏘᎯ Ꮅ Ꮒ,ᎬᏪ́ Ꮄ́ᏑᎺ́ Ꭰ Ꭳ Ꭴ  Ꭵ  Ꮧ   Ꮒ,mismatch
sk-am,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,ትሳፌ: ሬ:ሱሜ: ኤ ኦ ኡ ስስ አኤ ኦኤ ድ ትህ ል ን,ጻፌ፞ ሬ፞ሱሜ፞ ኧ ö ü ß ኧ œ ዝ þ ł ን,mismatch
Telugu-Tamil,తెలుగు రాత,தெலுகு ராத,தெலுகு ராத,match
es_419-fa,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,کافیریسومیاووسایویدتهلن,‎کافیریسومیاöوßااذþłن‎,mismatch
Telugu-Gurmukhi,తెలుగు రాత,ਤੇਲੁਗੁ ਰਾਤ,ਤੇਲੁਗੁ ਰਾਤ,match
InterIndic-Telugu,हिन्दी,हिन्दी,हिन्दी,match
Kannada-Latin,ಕನ್ನಡ ಬರಹ,kannaḍa baraha,kannaḍa baraha,match
es-fa,español texto ñ,یسپانولتیستون,‎ایسپانولتیستون‎,mismatch
Thai-ThaiSemi,ภาษาไทย กรุงเทพ,ภาษาไทย; กรุงเทพ,ภาษาไทย; กรุงเทพ,match
am-am_FONIPA,ኢትዮጵያ,ʔi.tɨ.jo.pʼɨ.ja,ʔi.tɨ.jo.pʼɨ.ja,match
CanadianAboriginal-Latin,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,match
InterIndic-Latin,हिन्दी,हिन्दी,हिन्दी,match
Kannada-Bengali,ಕನ್ನಡ ಬರಹ,কন্নড বরহ,কন্নড বরহ,match
kk-fa,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,چافه ریسومه آ او او سس آه اوه د ته ل ن,‎چافه ریسومه آ ö ü ß ا ا ذ þ ł ن‎,mismatch
Kannada-Gujarati,ಕನ್ನಡ ಬರಹ,કન્નડ બરહ,કન્નડ બરહ,match
lt-Upper,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,CAFÉ RÉSUMÉ Ä Ö Ü SS Æ Œ Ð Þ Ł Ñ,CAFÉ RÉSUMÉ Ä Ö Ü SS Æ Œ Ð Þ Ł Ñ,match
Gurmukhi-InterIndic,ਪੰਜਾਬੀ ਲਿਖਤ, , ,match
Tamil-Arabic,தமிழ் எழுத்து,تمير يروتتو,‎تمير يروتتو‎,match
Bengali-Oriya,বাংলা লেখা,ବାଂଲା ଲେଖା,ବାଂଲା ଲେଖା,match
pl-fa,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,تسافه ریسومه آ او او سس آه اوه د ته او ن,‎تسافه ریسومه آ ö ü ß ا ا ذ þ او ن‎,mismatch
de-ASCII,Ä Ö Ü ß äöü,AE OE UE ss aeoeue,AE OE UE ss aeoeue,match
Telugu-ur,తెలుగు రాత,تیلوگو رات,‎تیلوگو رات‎,match
Tamil-Kannada,தமிழ் எழுத்து,ತಮಿೞ್ ಎೞುತ್ತು,ತಮಿೞ್ ಎೞುತ್ತು,match
am-fa,ኢትዮጵያ,یتییوپ'اییا,‎ایتویوپویا‎,mismatch
Devanagari-Tamil,हिन्दी नमस्ते,ஹிந்தீ நமஸ்தே,ஹிந்தீ நமஸ்தே,match
rm_SURSILV-chr,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,ᎧᏪ ᎴᏑᎺ Ꭰ Ꭳ Ꭴ ᏍᏍ ᎠᎡ ᎣᎡ Ꮧ ᏘᎯ Ꮅ Ꮒ,ᎧᏪ ᎴᏑᎺ Ꭰ Ꭳ Ꭴ  Ꭵ  Ꮧ   Ꮒ,mismatch
nl-Title,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,Café Résumé Ä Ö Ü Ss Æ Œ Ð Þ Ł Ñ,Café Résumé Ä Ö Ü Ss Æ Œ Ð Þ Ł Ñ,match
es_419-chr,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,ᎧᏪᎴᏑᎺᎠᎣᎤᏌᎡᎣᎡᏗᏘᎯᎵᏂ,ᎧᏪᎴᏑᎺᎠᎣᎤᎥᏗᏂ,mismatch
Latin-Armenian,café résumé Ä Ö Ü ß Æ œ Ð þ Ł ñ,ծաֆե́ րե́սումե́ Ա̈ Ո̈ ՈՒ̈ ß Æ œ Ð þ Ł ն̃,ծաֆե́ րե́սումե́ Ա̈ Ո̈ ՈՒ̈ ß Æ œ Ð þ Ł ն̃,match
es-chr,español texto ñ,ᎡᏍᏆᏃᎵᏖᏍᏙᏂ,ᎡᏍᏆᏃᎵᏖᏍᏙᏂ,match
